artist,title,cleaned_lyrics
Dhvani Bhanushali,Thank You God,"आह, आह, आह, आह उसकी तारीफ़ें जिसने बनाया चाँदी जैसा रंग, बाल सोने जैसा पाया मुझसे कहता है, ""तुम्हारा शरीर अद्भुत है, दर्पण।"" आह, आह, आह, आह साए मेरे, हाँ, थोड़ी मुझसे जलन छू जलने का उसका भी रूप की अदालत भेजे दैल्य् ही सुम्मोन् आह, आह, आह, आह मैं नहीं, हर कोई मुझसे कहना चाहता है। दोहराएँ हर बार जब मैं आईने में देखता हूँ मैं कहता हूं, ""धन्यवाद, भगवान"" धन्यवाद, भगवान ""आपने बहुत अच्छा काम किया"" बहुत अच्छा काम किया तालियाँ बजाओ, तालियाँ बजाओ और सभी लड़के आह, आह, आह कहते हैं धन्यवाद भगवान् धन्यवाद भगवान् आपने बहुत अच्छा काम किया बहुत अच्छा काम किया रानी राज की जरूरत है? रानी राज की जरूरत और हर कोई आह, आह, आह, आह कहता हड़बड़ी कोई मुझको बनाने में की बनाने बाद, मैंने अपने आप कहा, ""ओह, तुम्हारा ""अब ऐसा कुछ भी हो।"" अरे, निकॉन, फ्लैश, कैमरा, लाइट ऑन सपेरी है, अजगर पकड़ने रही केवल हिट, माइक टायसन कहें जे सीन जेसन तक लड़कों की गर्दन तोड़ना अय्य, अय्य, पैसा, पैसा अय्य, अय्य, अय्य, ध्वनि, ध्वनि अरे, अरे, अरे, तुम 20-20 लेट अच्छा हुआ भगवान का शुक्र भगवान बनाई मैं नहीं, हर कोई मुझसे कहना चाहता है। दोहराएँ हर बार जब मैं आईने में देखता हूँ मैं कहता हूं, ""धन्यवाद, भगवान"" धन्यवाद, भगवान ""आपने बहुत अच्छा काम किया"" बहुत अच्छा काम किया तालियाँ बजाओ, तालियाँ बजाओ और सभी लड़के आह, आह, आह कहते हैं धन्यवाद भगवान् धन्यवाद भगवान् आपने बहुत अच्छा काम किया बहुत अच्छा काम किया रानी राज की जरूरत है? रानी राज की जरूरत और हर कोई आह, आह, आह, आह कहता भगवान धन्यवाद भगवान धन्यवाद आह, आह, आह, आह"
Dhvani Bhanushali,Laila (From ”Notebook”),होगी धुन तेरी मेरा फतूर होगा तुमपे नाज़ जितना तुम्हे मुझ उतना गरुर होगा मैं लैला की तरह मजनू सा मशहूर होगा देखना एक दिन जरूर होगा देखना एक दिन जरूर होगा देखना एक दिन जरूर होगा चांदनी धूप तक वहीं बिखरेंगे जिस जगह मिलेंगे हम देखना आसमां भी टूटेगा ज़मीन भी पिघलेगी जिस जगह मिलेंगे हम देखना बेचेनियों का समा रहेगा होगा भी देखना दर्द में जहां रहेगा होगा भी देखना होगा यही होगा थोड़ा थोड़ा तेरा होगा थोड़ा थोड़ा मेरा कसूर होगा मैं लैला की तरह मजनू सा मशहूर होगा देखना एक दिन जरूर होगा देखना एक दिन जरूर होगा देखना एक दिन जरूर होगा
Dhvani Bhanushali,Na Ja Tu,"दूर अँखियों की नहीं जाना, नहीं जाना टूट जाऊं मैं दिल दूर नैइ जाना नैइ जाना अब बाद मेरा मिलना पाया प्यार तेरा यार मेरा हाँ प्यार मेरा क़दर नहीं एक बार मेरी मैंने की हर बार तेरी रो रो थक गयी अँखियाँ मेरी यार सुबह शाम तक देखा मैं सोऊँ नहीं, सोऊँ नहीं हाँ पास ही जाओ यहीं कहीं, यहीं कहीं मैं गयी हूँ खुद बेखबर खोया मैंने सबर तेरा ही असर लिए भूली जहाँ जाने कहाँ गया हमसफ़र यार रोकना जीना मुझसे जुदा, मुझसे जुदा तुझसे नहीं हूँ मैं खुद ही हूँ ख़फ़ा, मैं हूँ ख़फ़ा टूटेगा दिल कभी ऐसा किया अगर मैं जाउंगी बिखर बिना मेरा यहाँ तुझी में जहाँ क्यों बेखबर यार"
Dhvani Bhanushali,Mehendi,"गेहेरि सहेलि पूचे साजन् चाहे गेहेरि सहेलि पूचे साजन् चाहे नैनो नैनो चेह्र हथ्’होन् लालि नाम् मेहेन्दि मेहंदी मेहंदी… मेहंदी का दाना भूमि, जल रंग ग्यो देखो. गुजरात पुनः मेहंदी रंग लाग्यो कितना अच्छा दिन है… मेहंदी का दाना भूमि, जल रंग ग्यो देखो. गुजरात पुनः मेहंदी रंग लाग्यो कितना अच्छा दिन है… मेहंदी का दाना भूमि, जल रंग ग्यो देखो. गुजरात पुनः मेहंदी रंग लाग्यो जनमो जनमो की बांधी प्रीत तोदे तूते आन्खोन् सप्न इक् प्यार् सप्न प्यार तूते चोद्’दे छोदे छुते रन्ग् छप् लगयि नाम् मेहंदी मेहंदी का दाना भूमि, जल रंग ग्यो देखो. गुजरात पुनः मेहंदी रंग लाग्यो कितना अच्छा दिन है… मेहंदी का दाना भूमि, जल रंग ग्यो देखो. गुजरात पुनः मेहंदी रंग लाग्यो कितना अच्छा दिन है… मेहंदी का दाना भूमि, जल रंग ग्यो देखो. गुजरात पुनः मेहंदी रंग लाग्यो अयि अयि अयि सज् सवर् अयि मोति बर्से मुस्कुरै नज्रेइन् हतये हथोन् हाये दिखाये समुद्री मेहंदी अछ रच्न बेन् पूच् ख्याल् लेग ? 00 लो… चल…!!"
Dhvani Bhanushali,Jeetenge Hum,"जब अँधेरे में हमने उम्मीद की लौ जलना सिखा रफ़्तार आगे बढकर अपनों जीताना सिखा अब थाम भी एक दुसरे संग हर जंग जीतेंगे हम हाँ बड़े बड़ो जोर लगाया जोर लगाया सारा हम उस देश वासी हैं देश कभी हारा बड़े बड़ो जोर लगाया जोर लगाया सारा हम उस देश वासी हैं देश कभी हारा हां मेरी आवाज में आवाज मिला यारा हां मेरी आवाज में आवाज मिला यारा जहाँ अच्छा हिन्दोस्ता हमारा जहाँ अच्छा हिन्दोस्ता हमारा हो, हो, सूरज फीका पड़ जाये चमके तेरा लश्कारा भारत की हर बेटी भारत की आँखों का तारा सूरज फीका पड़ जाये चमके तेरा लश्कारा भारत की हर बेटी भारत की आँखों का तारा जिस माटी में जन्मा उस माटी का जयकारा जिस माटी में जन्मा उस माटी का जयकारा ओह, जहाँ अच्छा हिन्दोस्ता हमारा जहाँ अच्छा हिन्दोस्ता हमारा हिन्दोस्ता हमारा हिन्दोस्ता हमारा हाँ, हाँ"
Dhvani Bhanushali,NA JA TU LYRICS – Dhvani Bhanushali,"– ध्वनि भनुशलि ल्य्रिच्स्न – ध्वनि भनुशलि दूर् अन्खियोन् जाना, जान तूत् जाउन् दिल् दूर् जाना, जान मिल्न पय प्यर् यार् प्यर् कदर् रो-रो थक् अन्खियन् यार् मेरी माँ सुबह् शाम् मैं तुम्हें चाहता हूँ, मैं तुम्हें चाहता हूँ पास् रेह् जओ पुजारी, हून् नमस्ते पद्ने च्लिच्क्"
Dhvani Bhanushali,Leja Re (From ”Leja Re”),"चाहने लिए, तुम्हें जानना होगा अगर तुम मुझसे प्यार करते हो, तुम्हें दिखाना होगा लेजा, लेजा, लेजा, लेजा-लेजा मुझसे दूर कहीं जा, बस यहीं-कहीं मैं तेरी दीवानी रे, अफ़सोस क्या? मुझसे दूर कहीं जा, बस यहीं-कहीं मैं तेरी दीवानी रे, अफ़सोस क्या? तेरी-मेरी कहानी नई गई मेरा गया, मैं तेरी गई जहाँ जाए संग लेजा लेजा, लेजा, लेजा-लेजा लेजा-लेजा महकी रात में चुरा रंग लेजा, रंग लेजा रातें-रातें मैं भीगूँ साथ में, ऐसी मुलाक़ात मुलाक़ात बी-बी-बी-बी-अब इसका बैकअप लें उन्हें उठाओ, हाँ तेरी-मेरी बातें, मीठे-मीठे पल भीगे-भीगे मौसम मिलें हमें कल तेरी-मेरी बातें, मीठे-मीठे पल भीगे-भीगे मौसम मिलें हमें कल लिए मैं हूँ, लिए डर किस बात का है? मैं तुम्हें जानना चाहता हूँ बेटा, तुमने सच में तंग लिया अब मैं आपकी बात सुनना चाहता हूँ जहाँ जाए संग लेजा लेजा, लेजा, लेजा, लेजा-लेजा लेजा-लेजा महकी रात में चुरा रंग लेजा रंग लेजा रातें-रातें मैं भीगूँ साथ में, ऐसी मुलाक़ात मुलाक़ात जा, लेजा बी-बी-बी-बी-अब इसका बैकअप लें जा, में ऊपर, लेजा जा,"
Dhvani Bhanushali,Laila,होगी धुन तेरी मेरा फ़तूर होगा तुमपे नाज़ जितना तुम्हें मुझपे उतना ग़रूर होगा मैं लैला की तरहा मजनू सा मशहूर होगा देखना एक दिन ज़रूर होगा देखना एक दिन चाँदनी धूप तक वहीं बिखरेगी जिस जगह मिलेंगे हम देखना आसमां भी टूटेगा ज़मीं भी पिघलेगी जिस जगह मिलेंगे हम देखना बेचैनियों का समां रहेगा होगा भी देखना दर्द में जहाँ रहेगा होगा भी देखना हाँ यही होगा थोड़ा थोड़ा तेरा होगा थोड़ा थोड़ा मेरा कसूर होगा तुमपे नाज़ जितना...
Dhvani Bhanushali,Main Teri Hoon (From ”Main Teri Hoon”),"दिल का हाल यहाँ कोई पूछे ""इश्क़ किससे?"" कोई पूछे सबसे मैं कहूँ और मैं कहती रहूँ मैं तेरी हूँ, आहा, मैं तेरी हूँ, आहा मैं तेरी हूँ, ओ, पिया, मैं तेरी हूँ इश्क़ तुझसे बेहद, यार कहती रहूँ, हाँ, लाखों बार मैं तुझ जीती रहूँ, तुझ मरती रहूँ मैं तेरी हूँ, आहा, मैं तेरी हूँ, हाँ मैं तेरी हूँ, हाँ, पिया जी, मैं तेरी हूँ रंग तुझसे ही हैं संग मेरा तुझमें ही तुझसे मिलती रहूँ तुझमें घुलती रहूँ मैं तेरी हूँ, हाँ, मैं तेरी हूँ, हाँ मैं तेरी हूँ, हाँ-हाँ-हाँ-हाँ, मैं तेरी हूँ हाँ-हाँ, मैं तेरी हूँ हाँ, मैं तेरी हूँ, मैं तेरी हूँ"
Dhvani Bhanushali,Radha,"रातें ये, पूरी हों मुलाक़ातें आधी-आधी बातें अब सुन मेरी ज़रा, ज़रा, ज़रा, ज़रा, ज़रा तुझसे मैं भी दूँ शायद इस दिल बहने दूँ तुम्हें भी ऐसा लगता मेरा-तुम्हारा एक ही कहना है? गई मैं जोगन सैयाँ, तोहसे लागा मोहन सैयाँ, मैं बनूँ राधा चाहती हूँ तुझको मैं खुद भी ज़्यादा मोहन सैयाँ, मैं बनूँ राधा मुझको नसीब मिला आ क़रीब क्यूँ रुका है? लिए थी मैं अकेली, फ़ासला मिटा जाने सोचा था मैंने चाहे वैसी मैं बनूँ आगे तू, पीछे-पीछे मैं चलूँ तुम्हें भी ऐसा लगता मेरा-तुम्हारा एक ही कहना है? गई मैं जोगन सैयाँ, तोहसे लागा मोहन सैयाँ, मैं बनूँ राधा चाहती हूँ तुझको मैं खुद भी ज़्यादा मोहन सैयाँ, मैं बनूँ राधा मोहन सैयाँ, मैं बनूँ राधा"
Dino James,Loser,दुनिय बदे लोसेर् दस्तन् उस्को वर्दन् फ़त्ति रहेगि ग्न्द् हमेश रहेग परेशन् स्त्रुग्ग्ले कन्गालि निक्लेग जीवन् बद्नसीम् सहब् हून् महन् हमेश हिम्मत् लाचर् होन्स्ले बिमार् फ़ैलुरे सगर् खलि पद उमीदोन् बिचय जाल् दर्त यार् कहनि सल निकलेग सरे पय् नोतेस् सच्रिफ़िचेस् जयेइन्गे युन् बेकार् फ़ुन्च्तिओन् कप्दे झूत् दोस्तोन् समज् काम् फ़स हून् दय् दय् अकेले कात्ने दौद्त शेहर् बोम्बय् ज़ोर् चिखुन् आप्को आवज़् सुनयि लालचता था अपनी बुनियादी जरूरतों की चीज़ोन् चै जी दोस्त् ख चकेस् प्रोतेइन् शकेस् तैसे फोने चल लग लग चेल्लो तपेस् चिल्लरोन् आवज़् हमेश बज्ति रेह्ति जेब् देते प्रवचन् लिफ़े तनतन् हलत् जये तन्ग् रास्ते जये बन्द् शकल् उदा रन्ग् उदास् रेह्त मन्न् झन्द् समझ् भजन् मोतिवतिओन् काहे व्यव्हर् साले यार् रिश्तेदार् बात् सम्भल्कर् वपिस् मन्ग् उधार् थान् समय् कर्दे लचार् वर् दल्ने हून् हथ्यार् धुन्द्लि रहेइन् अन्जन सफ़र् किस्मत् बर्स मुझ्पे कहेर् बेजान् ज़िन्दगि खुद बेखबर् ज़िन्दगि हार हून् हून् लोसेर् शकल् लिख रेह्त सच् इस्लिये अन्खेइन् मीच् युन्हि जुद्गे इसिलिये खो धीरज् शयद् अनाज् लेने पैसे नि प बेह्चर खर्च् काम् मिल्ने चर्च अर्स बदल् गर्ज सल बर्स मा चोति खुश्खब्रि सुनने सलोन् तर्स फिर् झूथ् अबेय् मर्त फिर् अकेल लग हिम्मत् अस्लि साथि लदै लद्ने आवज़् खतम् पिच्तुरे बाकि कुत्ते दिन् साले फिर् चोत हाथि धुन्द्लि रहेइन् अन्जन सफ़र् किस्मत् बर्स मुझ्पे कहेर् बेजान् ज़िन्दगि खुद बेखबर् ज़िन्दगि हार हून् हून् लोसेर् चीख्ने मन्न् साल हलत् कुत्ते हलतोन् हून् जाने महिनो खय दिनो मुह् निक्ल दिनो अस्लियत् चहत भल जये केह्ने अकेले लद्नि लदयि देख्न आ जयेन्गे हिस्स मान्ग्ने फ़सल् कतयि ज़रूरि रये बन् जये सचयि जन्त हून् घुत् घुत् झेलि सज़ दिल् केह्त रज जल्द् आने नुम्बेर् मज़ भिक्र विश्वस् फ़ैल् भूकि प्यसि धर्ने बैथि मा जग् हार् किधर् तुझ्को लन पदेग लद्ने जिगर् सच् सप्ने सबर् जीत्न सुन् लोसेर्
Dino James,GIRLFRIEND,"नमस्कार सोचिअल् सेर्विचे अन्नोउन्चेमेन्त् जनहित में जारी सरकार आपको कुछ बाते बताना बहोत जरुरी समझती और लगता मेरी जिम्मेदारी मूल रूप से, आजकल गिर्ल्फ़्रिएन्द् नामक तबाही की कहानी इश्क़ में प्यार लावड़े लगते बात आपको बतानी सकता मेरी बात आपको अच्छी लगे लुच्क् भी आप सबको खुश नहीं सकते, इसलिए परवाह नहीं लोंडे प्यार में चुतियापा करते तुम इसके बारे में सोचोगे और इनमे हमने कितने खुद कोसोगे कहते इश्क़ आग का दर्या लेकिन लौडू तैरना आता जहा हाथ नहीं जाता गांडू वहपे कायको खुजाता आजकल रेलतिओन् कितने झाटु और कौड़ी तुम्हारे अंदर सब घाव उस बाकि लौड़ी उडाता हुआ तीर हमको अपनी गांड में लेने का बहोत शौक क्युकी पहले दिन हमको पता की बाबा पिक्चर अभी फ़्लोप् तुम्हारे चूतिया आशिक़ घुमा चुकी हज़ार सारी मतलब की मशीन इनको किसीसे नहीं सकता प्यार कितनी भी मरालो इनको हमेशा काम पद जाता हर मिनुते बाद इनको इनका पूर्व प्रेमी याद आता लेकिन हालत की जानकर भी हम कुछ नहीं पाते सामने लिखा गांड फटने वाली लेकिन हम उसको क्यों पढ़ नहीं पाते पता नहीं छोटा सा फंडा हमको क्यों नहीं समझ आता इनका चल्लेद् फ़्रिएन्द् इनके साथ बस सोना चाहता लोंडो इतने देर तक गले लगते जाने कबके बिछड़े और गांड जली में हम सोचते की हम ही शायद पिछड़े इनकी सटी सहेली हमें ब्रोअद् मिन्देद् की राय देती कुध रिश्तो लौड़े लगे हमारे भी लगा देती हमारी इन्सेचुरित्य् का इनके कपड़ो पर भी जाता जिससे इनके च्लेअवगे और अस्स् दरार, एकदम साफ़ नज़र आता लोव् वैस्त् पहेनना भी इन बेचारियो की बहोत बड़ी मजबूरी क्युकी इनकी गांड का तितली का तत्तू लोगो दिखाना भी जरुरी प्यार समझने की इनकी औकात ही नहीं हमें माँ बाप मिलादे इनमे ऐसी कोई बात नहीं इश्क़ में हम इनको जबरन लैला बना देते असलियत में लैला की झाट नहीं में चलता था जिस रस्ते पाने वास्ते मेरी जाना मैंने कुछ नहीं सहा जानके अंजना था हमेंशा में बेगाना था खोने डर कुछ हमारा नंबर हमेशा क्या-ऐप और फ़चेबूक् बाद ही आता हगने बाद में जाती पहले इनका अपडेट आ जाता सारा दिन और साड़ी रात फ़ोन की गांड में घुसी रहती और कुछ इनका भोसड़ा उदास जाता तुम्हारे अब्सेन्चे में पता नहीं लडकिया कराती इनका कोई ईमान धर्म और कोई मोरल् वलुएस् थोड़ी जिससे डरती कोई बड़ी बात नहीं भाई बोलकर इनको एक साल गिफ़्त् तुम्हारे जाने बाद में भोसड़ी वाला वही इनकी एक दिन गुइतर् उठा बोलती इसका गिफ़्तेद् एक बार मुँह उसके नाम भी निकल गया था, सेक्ष् गांड फटी में मिनट में मेरा केले किस्मिष गया में छोटू ढूंढता बिचारा झाड़ियो में कही खो गया बाप पास स्कूटर नहीं लेकिन लड़का ब्म्व् वाला कडाको साथ में इनका सारा रंडी रोना पैसे लोंडो साथ में एकदम गांड फटी में रहती फिर उनकी माँ बहन उनकी जुते चप्पल भी सहती बचपन में पापा समझाया था, अब समझ में आयी बात अम्म्म मतलब पढाई = नौकरी= पैसा ओओओ फ़ुच्क् मतलब पापा भी पता था साली पैसो ही आती अब, क़ुएस्तिओन् पैसा होकर भी हम इनके जाल में क्यों फस जाते ? कुत्ते बनके क्यों इनके सामने प्यार लिए हाथ फैलाते क्युकी हम चूतिये एमोतिओनल् सुप्पोर्त् और इसी बात फायदा उठाती मोथेर्फ़्किन्ग् व्होरेस् बहुत सरिया गिनती ही भूल गए कितने लोगों साथ चुके हैं प्रोउद्ल्य् जाने माँ बाप की कितनी सेवा की ही पंधरा बीस मिनट तक हमको पहचानती तक नहीं उसके बाद इनको याद आता ओओ फ़ुच्क् इसने भी में ली लेकिन इतने लोगो याद रखना हुमानली पोस्सिब्ले भी नहीं बड़ी बात एटलीस्ट इनको याद की हम इनके साथ और सकता की इनकी तेम्पोरर्य् हालत नहीं कितने लोगो कपडे पहनते ही भूल गयी अव्व्व कितना क्यूट फेस बना मेरी लिरिक्स सुन रही इनको कोई आईडिया ही नहीं की में किसके बारे में अक्टुअल्ली इसी लिए रही क्योकि इनकी गांड फटी हुयी क्युकी एक एक करके में इनके सब राज खोल हांहांहां में चलता था जिस रस्ते पाने वास्ते मेरी जाना मैंने कुछ नहीं सहा जानके अंजना था हमेंशा में बेगाना था खोने डर कुछ दूसरे लेकर हमेशा हमारी गांड जलती फ़्रिएन्द् धूप वाला? ईश्वर! एकदम संजय दत्त दिखता अगर इनकी चुत जैसी शकल हमें प्यार नहीं हुआ हम इनको बताते सुनकर हमको कैसा लगता एक महीने में इनका सेन्से हुमोर् इनके सामने फ़दे जाता तल्क् व्यापार, घर बोलू कितना कमाता ? फिर धीरे धीरे इनके बेहविओर् में चन्गे आने लगते और एकदम इनके लाइफ में कोई न्रि आ जाता लेकिन कभी मुँह खोल नहीं बोलेगी की हमको छोड़ने वाली दिमागी खेल खेलते हैं और आपको गंदा काम करने देते हैं देसेर्वे में बहुत बुरी कुश में लगता हमने ही बेचारी कितने पाप अपने चोन्वेनिएन्चे हिसाब पट बदल जाती और बहुत उमड़ उमड़ प्यार आ जरूर आपसे कुछ चाहती तुम तब तक ही वहां जब तक तुमसे बेहतर कोई नहीं मिल जाता उसके बाद आप, और बेह्चोड़ कोण हमको लगता सिर्फ हमारे साथ हुआ लेकिन भाई सबकी स्तोर्य् निगल भी नहीं सकते और उगल भी नहीं सकते ऐसी मज़बूरी इसी लिए आप लोग मेरी ल्य्रिच्स् इतना ज्यादा रिलेट में भी फ़्रुस्त्रते यार कहानी नर्रते हमारी गांड मारते भले कभी नहीं थकती लेकिन लेंत उपवास और रोज़ा एकदम याद रखती नाउ इवन गॉड कनौस डाट यू गाइस फ़ुच्किन्ग् फ़के हँसते होंगे ऊपर तुम्हारी जुटी भक्ति भगवान मेने सहा उससे आधा भी भोगे और भी जाने की कैसा लगता अपना सब कुछ खोके तेरी आँखों सामने तेरा बोय्फ़्रिएन्द् किसी और किस और सारी रात रो रो बस मुझको मिस्स् लोवे देखना साथ में सब कुछ होगा ऊपरवाला भी देगा तुज़पर हसने एक मौका वापस आने बारे में सोचना भी मत, क्योंकि अब मैं तुमसे दिल नफरत करता हूँ अब स्वप् हम दोनों हालत सब बोलके बहनचोद क्यों बुरा लग क्यों हर जगह अब भी तेरा मनहूस चेहरा दिख बर्बाद करके भी क्यों दिमाग नहीं जाती क्यों सुबह शाम बस तेरी याद आती राते मेरी बाते तेरी सारी मुलाकाते तेरी जाने तुझको में बताऊ भुलवू तूज़े दिलसे मिटाऊ दिल की आग बुझाउ"
Dino James,Unstoppable,"रुक रुक लाइफ आ गया था वोह तंग्ग हार बज शंख सब कुछ गया था भसम सब जानते इस सपने यूँ डम्ब की खुद आती थी शर्म काश थोड़ा दम दिखाया मैंने कम कम हटे हैं पड़ोस और हस्ते हैं दोस्त मनाता अफ़सोस किस्मत कोसे सला रोज़ गलती नहीं थी सुप्पोसे डैड का ही था सारा दोष पर असलियत थी कनौस की कमज़ोर था ऑफ़ कोर्स आगे सब कुछ कठिन टाइम था हिंट अगर आसान विन हर कोई शाहरुख़, सचिन इंतज़ार था शायद एक दिन आएगा अल्लादीन का कोई जीन कहेंगे जागो नींद किंग प्लेन में आपका ड्रीम जानता सकता औरों बेहतर पर गिर जाने डर नहीं खोल पा पर क्यूँ ढूंढता बाहर साले कोई भी अंसवेरस जवाब तितर बितर पड़े ही भीतर ज़रा सा तुझमें दम तोह उठा कदम भले कोई संग कौन लोग बोलते संभव ही नहीं बस इतना जान अब काम हैं आंसू और दर्द उन्ही चला इस रस्ते और बना उनसतोप्पाब्ले ज़िन्दगी में प्रेशर काम होगा भाई बड़ा सपनों का साइज बड़ा प्राइस और सैक्रिफाइस मत सबकी राय कोई चाहता भलाई करता लेफ्ट एंड राइट बस सही समय का इंतजार मत जंगल में नियम वैसा सब आज भी लड़ेगा बढेगा जानवर या आदमी नज़रें बाज़ और ताक़त बाघ कहता मास ही पर समय पर घास भी भूल गया लूज़र उसने किया था ख़तम और छत ऑलमोस्ट करने ही वाला था जम्प बोहत ज़्यादा जल्दी भर गए छोटे ज़ख़्म या तुझमें दम या फिर बड़ा ही बेशरम आईडिया सकता छोटे तेरा फेथ जब आँख खुली मॉर्निंग आप कभी भी देर नहीं आते करता मिस्टेक पर बरता पेज आंसू का हिसाब साले कुछ होगा वस्ते खुद की काडर खुद ही जाए ग़दर अब होगा सबर वहां पर खुदी कबर आज करना अभी और डाई, नाउ और नेवर मदद सामने खड़ी गधे दर्पण में ज़रा सा तुझमें दम तोह उठा कदम भले कोई संग कौन लोग बोलते संभव ही नहीं बस इतना जान अब काम हैं आंसू और दर्द उन्ही चला इस रस्ते और बना उनसतोप्पाब्ले मैं बेचारा हूँ प्लीज देदो महंगी बाइक मैं कुछ भी कमाता हूँ तुम मेरी पत्नी बनोगी किसी नहीं जान-न कितनी सैड तेरी लाइफ यहाँ सिर्फ और सिर्फ रिजल्ट ही बस चलते हैं भाई फर्क मिडिल क्लास या फॅमिली गरीब इक़् तेरा वेएक या दमे का मरीज इट्स ओके मोज़े में छेद या फटी हुई कमीज मोटा या काला या दिखने में अजीब परेशां पर माँ कहता माँ, यहाँ सब कुछ ठीक सब ट्रेनिंग का पार्ट पगले सब साली सीख मत समझना नसीब सब टेम्पररी तकलीफ कोई रोक नही पायेगा छोटे जब तक छोटे जिन्दा बिलीफ थोड़ा कम अकाल हूँ मैं पर ज़िद्दी आजकल मैं ही थी समस्या अब मैं ही सारा हल हारने में अव्वल तभी अब सफल मत करना तुम तक्कल्लुफ़ मैं अब उनसतोप्पाब्ले खड़ खड़ सपने खड़काये फड़ फड़ दिल पर फड़काये ढूंढे कुछ जाने रास्ते बाकी बातें सब फ़र्ज़ी सपनों की खुदगर्ज़ी जीते हैं उन लम्हों वास्ते ज़रा सा तुझमें दम तोह उठा कदम भले कोई संग कौन लोग बोलते संभव ही नहीं बस इतना जान अब काम हैं आंसू और दर्द उन्ही चला इस रस्ते और बना उन्स्तोप्पब्ले रुक रुक रुक"
Dino James,Hancock,"दोउर् जीने चोद् सारि होपेस् परेशान् रेह्न लग वजह् गुप्त् किसिसे बात् रेह्त दुम् चुप् दद् दर्ने लगे रूप् अन्धेरे उम्मिदोक तोर्च् सम्जे सुप्पोर्त् मिस्सिन्ग्ल्य् भेज खुशियोन्क बोक्ष् फिर् गिर्ते पद्ते साम्ने दोग् उस्कि मूच् चोति नोसे रोसे तोसे उप्पेर् निचे चोते चोते एयेब्रोव्स् उद्द् होश् साले गोद्द् लब्रदोग् रूप् स्पेचिअल् दोस्त् शकल् जुन्ग् बात् किसिसे फिर् जरिय बनके दय् धून्ध् कन्धे पन्जे चल अकेल जन मान्गि रब्से जि वजह् सुन्लि पिहु आते हेरो 40 त्रिच्क्स् द्रिन्क्स् बिस्चुइत्स् सब्को सोन रेह्त सिर् बैथ्न बीच् दान्ते सुन्त मोत साल दीत् भग् चुदके लिश् फिर् गन्दे पैरो खरब् कर्देग सोफ़ बेद्शीत् मर्ने दद् लते स्तिच्क् लेत देते गिले गिले किस्स् चल्त दोस्त् फ़ेमले मर्ति सब्को चुते उस्को रेजाति हिलति पून्च् सब्के चोदे थोदे सबोत् पर्व गन्द रोअद् बास् किसिक चब जाये पुर्से खरब् कालि शिर्त् घर्मे आन ओये प्रोब्लेम् बोय् बाद्मे साले हन्चोच्क् पोवेर्रगे बन्के मिल सबोत् तूफ़नोके बीच्मे आयेगि धूप् जरूरत् किसिकि जानति खूब् और सुनली मेरी और उसने सिर्फ तुम्हें चल अकेल जन मान्गि रब्से जि वजह् सुन्लि पिहु मैं मुंबई में था डैड और मॉम बैंगलोर गए अचनक् लते निघ्त् दद् चल्ल् अजीब् बाअत् घुमके गोल् गोल् फिर् धीरे रुक् हन्चोच्क् सुन बोद्य् होगयि सुन् चक्कर् आने लगि आन्खो आग्यि धूल् रोन निक्ल आसु बुन्द् पुच्न मोम् नहीं सका हन्गोलि चोतु रातो राअत् होस्पितल् शुरु इलाज् भैय्य दुम् हन्कि लेन बन्द् कर्दिय सास् शयद् अकेले जन बेत तक्लीफ़् नज़र् हुमरे प्यार् रेह् कसर् हुमे गन्दि लग् नज़र् आके चल गयतु जैसो द्रेअम् सोच हुमर मत्लबि साले समन् जगह् घर्भि दुम् च्लेअन् मन् जाअनेक मोते बिन् जगह् निशान् सुके लाल्के मांस नहीं, बच्चे का नाम है? गर्देन् सुखे पौधे सुसु धाद् जयेन्गे घर्पे मर्क् विदेओस् देख्ते लगके लूप् पाये रोते साअरे दुख् जन्त शाने सुन् जान्त खूब् वपिस् आन आह् पुप्प्य् रूप् होके मौजुदु दिल् लम्बि जुबान् कम्से चल अकेल जन मान्गि रब्से जि वजह् सुन्लि हाथ…"
